#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U
Ariel-1    6565.220215    6531.517938    6599.056545    6499.554885    6631.639981       0.268790       0.248460       0.289139       0.228684       0.309112 
Ariel-2    4668.524884    4578.364177    4763.151047    4487.795829    4858.118728       0.108272       0.058628       0.158270       0.011362       0.206420 
Ariel-3    6061.447145    6039.445101    6083.405775    6018.464491    6104.492128       0.209475       0.188943       0.229884       0.169081       0.249606 
Ariel-4    5751.853620    5710.893904    5793.164353    5672.399044    5831.489463       0.465546       0.443883       0.481210       0.425699       0.491925 
Ariel-5    6368.278879    6341.590164    6395.216835    6315.984080    6421.302773       0.029239       0.008973       0.049610      -0.010700       0.069433 
Ariel-6    4820.259522    4787.597231    4853.160630    4756.764589    4884.896986      -0.019903      -0.040247       0.000379      -0.060192       0.020256 
Ariel-7    6202.626035    6162.342147    6243.392620    6123.967012    6282.802392       0.178240       0.148414       0.208360       0.119406       0.237853 
Ariel-8    4591.109875    4486.884350    4701.102562    4381.752223    4812.393438       0.329264       0.273443       0.378297       0.217309       0.424715 
Ariel-9    5060.468561    5035.986316    5085.164740    5012.629582    5109.081030      -0.570165      -0.590634      -0.549606      -0.610418      -0.529600 
Ariel-10    5867.912629    5854.610622    5881.212573    5842.073167    5893.762841      -0.000267      -0.011349       0.010851      -0.022046       0.021620 
