#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U
Ariel-1    6575.741997    6535.592526    6603.057266    6505.041399    6637.099534       0.278865       0.255000       0.295089       0.235400       0.314891 
Ariel-2    4666.539041    4582.211334    4767.090670    4490.814884    4861.304177       0.118223       0.065700       0.165016       0.020200       0.215045 
Ariel-3    6068.432488    6047.975345    6091.784073    6026.984953    6112.822283       0.219660       0.195000       0.235630       0.175000       0.254895 
Ariel-4    5756.452992    5718.077938    5800.340429    5678.714692    5837.834818       0.482452       0.459800       0.494870       0.441200       0.504862 
Ariel-5    6375.404320    6349.654730    6403.258200    6325.137558    6430.453554       0.039149       0.015000       0.055196      -0.004600       0.074894 
Ariel-6    4826.532499    4794.575166    4860.106054    4761.569313    4889.594911      -0.009850      -0.025600       0.014870      -0.045400       0.034895 
Ariel-7    6209.770667    6169.501341    6250.570483    6132.535836    6291.365506       0.188056       0.155400       0.214849       0.127000       0.244867 
Ariel-8    4590.595737    4490.038362    4704.311600    4387.782122    4818.960402       0.347827       0.290800       0.394896       0.227800       0.435025 
Ariel-9    5066.823264    5041.156100    5090.289997    5017.414543    5113.809268      -0.560212      -0.585000      -0.544187      -0.605000      -0.524355 
Ariel-10    5874.755566    5858.549168    5884.975168    5847.027145    5898.546928       0.009757      -0.005000       0.016881      -0.015000       0.028264 
