#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U
Ariel-1    6567.999618    6532.722833    6601.672684    6500.111536    6633.070903       0.268190       0.248457       0.287792       0.229396       0.306499      59.200645      58.607460      59.794476      58.037914      60.364536 
Ariel-2    4670.688491    4568.667608    4771.654341    4490.489468    4864.443645       0.109479       0.059035       0.159911       0.010441       0.208259     180.590790     180.000183     181.186081     179.429962     181.754913 
Ariel-3    6061.277440    6039.319113    6083.465890    6018.226607    6104.559153       0.208475       0.188711       0.228153       0.169614       0.246609      83.426506      83.282600      83.579636      83.138451      83.724220 
Ariel-4    5738.027140    5696.637340    5779.571710    5659.537140    5819.803398       0.439388       0.428071       0.448173       0.411966       0.453933      66.749611      64.894272      68.624908      63.139111      70.439423 
Ariel-5    6368.925682    6342.241220    6395.964688    6316.490333    6421.856247       0.029625       0.009093       0.050281      -0.010723       0.070198      99.942421      97.489197     102.393112      95.145088     104.740112 
Ariel-6    4819.598012    4786.990134    4852.683747    4756.989172    4883.430313      -0.016437      -0.031046       0.001721      -0.041879       0.020590      18.450460      18.192333      18.707880      17.945480      18.953508 
Ariel-7    6202.346823    6161.148065    6243.824499    6122.128313    6283.554347       0.181238       0.149360       0.211668       0.117214       0.240517      56.428314      54.736282      58.119091      53.111683      59.731544 
Ariel-8    4525.669156    4434.774756    4604.929951    4368.765022    4660.294914       0.327310       0.267890       0.383787       0.216401       0.442038       9.391595       9.292405       9.490788       9.197516       9.585338 
Ariel-9    5060.493564    5035.637982    5085.415995    5012.054483    5109.311027      -0.569992      -0.590907      -0.549461      -0.610540      -0.530288     179.596725     178.807159     180.381973     178.044861     181.145554 
Ariel-10    5867.954507    5854.697402    5881.332034    5842.095617    5894.141413       0.001785      -0.009622       0.011997      -0.022607       0.021670     141.194031     140.797699     141.588348     140.419464     141.973953 
