#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U
Ariel-1    6559.704552    6550.132509    6617.859965    6512.534375    6645.437746       0.278286       0.256100       0.294849       0.238300       0.314857      59.448673      58.615002      59.801102      58.064999      60.390770 
Ariel-2    4693.956583    4569.620786    4772.453367    4492.883800    4866.810264       0.118579       0.065000       0.165640       0.017400       0.215051     180.560379     180.009094     181.194824     179.444992     181.769592 
Ariel-3    6067.832858    6049.924623    6093.764198    6026.707029    6112.845773       0.218497       0.196000       0.234876       0.178400       0.254875      83.490685      83.270103      83.564888      83.164299      83.744850 
Ariel-4    5745.485016    5704.927676    5787.912836    5664.283469    5824.294035       0.450416       0.445000       0.463719       0.427500       0.464871      66.299820      64.885002      68.615005      63.098301      70.394882 
Ariel-5    6377.151041    6349.654730    6403.360143    6325.210478    6430.460615       0.039495       0.015000       0.055938      -0.005000       0.075576     100.010941      97.405998     102.304855      95.144997     104.729340 
Ariel-6    4825.271423    4794.575166    4860.255469    4762.719613    4889.251335      -0.010012      -0.025000       0.005778      -0.035000       0.023835      18.422588      18.215000      18.728914      17.947300      18.954813 
Ariel-7    6208.594661    6169.501341    6252.176600    6129.782548    6291.306792       0.192144       0.163200       0.224897       0.125000       0.247993      56.379906      54.753700      58.134899      53.106201      59.725021 
Ariel-8    4540.249264    4457.640823    4626.399675    4377.438898    4669.209234       0.341945       0.279100       0.394885       0.225000       0.450163       9.407546       9.305000       9.503233       9.207200       9.594884 
Ariel-9    5067.376829    5040.574961    5090.303970    5016.665387    5113.800846      -0.559330      -0.576300      -0.535117      -0.604700      -0.525107     179.609421     178.820694     180.394836     178.071701     181.164886 
Ariel-10    5874.639463    5858.616709    5885.078552    5846.555310    5898.546928       0.012334       0.005000       0.024383      -0.009100       0.034889     141.116104     140.785004     141.564133     140.448303     141.994827 
