#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6567.880631    6532.536347    6601.563960    6499.997347    6632.965303       0.268056       0.248334       0.287629       0.229268       0.306279      59.176308      58.587605      59.769535      58.024330      60.334709    1147.048096    1132.723022    1161.430298    1119.089722    1175.324463 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5737.034958    5695.783642    5778.987932    5658.580275    5819.413627       0.439688       0.428206       0.448797       0.411956       0.454031      66.291695      64.836838      67.749779      63.427082      69.164238    1317.225586    1279.139648    1354.605469    1241.805908    1390.410034 
Ariel-5    6368.747367    6342.060171    6395.697839    6316.362032    6421.683502       0.029687       0.008648       0.050571      -0.011225       0.069954      99.709534      98.499268     100.912476      97.322258     102.073303    2115.552246    2082.572754    2148.663086    2050.568359    2180.603027 
Ariel-6    4820.648532    4797.466107    4844.294011    4774.423997    4866.214494      -0.016704      -0.031833       0.001235      -0.042421       0.018990      18.460533      18.234377      18.683519      18.014521      18.901274     245.329697     242.167389     248.481354     239.118652     251.568497 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4523.955178    4478.819682    4567.952854    4434.346288    4610.188684       0.328692       0.272287       0.382588       0.218032       0.440143       9.390033       9.291505       9.488840       9.197096       9.583144     106.824486     103.785782     109.875687     100.857361     112.818611 
Ariel-9    5063.567081    5038.975790    5088.339836    5015.420713    5112.091443      -0.562564      -0.582754      -0.544096      -0.602118      -0.525015     180.132599     179.499619     180.846939     178.985825     181.522736    4144.581543    4121.308594    4171.876465    4108.790039    4197.937012 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
