#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6559.736962    6550.132509    6617.932627    6508.413421    6641.258216       0.278165       0.256200       0.294895       0.238400       0.314886      59.448681      58.615002      59.792229      58.044998      60.352852    1141.801514    1132.367920    1160.896362    1118.699951    1174.738403 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5742.741560    5701.117444    5784.294860    5663.698899    5824.278048       0.450769       0.445000       0.463596       0.427600       0.464891      65.849220      64.885002      67.794846      63.438198      69.174889    1318.413330    1279.900024    1355.312866    1243.300049    1391.832153 
Ariel-5    6377.298082    6349.654730    6403.268746    6325.283399    6430.481796       0.039764       0.015000       0.056802      -0.005000       0.075622     100.010941      98.512398     100.924896      97.315002     102.061218    2100.973145    2084.300049    2150.270752    2050.500000    2180.342773 
Ariel-6    4825.390629    4803.192570    4850.004481    4780.629451    4872.416206      -0.009598      -0.025000       0.006616      -0.035000       0.022898      18.478601      18.236799      18.684895      18.028700      18.915089     245.748215     242.300003     248.605957     239.300003     251.745255 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4535.498550    4484.872363    4574.000436    4439.817240    4615.770157       0.342838       0.284800       0.394866       0.225000       0.446399       9.391401       9.297700       9.494898       9.205000       9.590904     107.401581     103.900002     109.986061     101.099998     113.058907 
Ariel-9    5069.524898    5046.788317    5096.136574    5020.536312    5117.218556      -0.550858      -0.573500      -0.535165      -0.592100      -0.515101     180.297302     179.425003     180.763672     178.955002     181.476761    4155.011719    4114.899902    4164.063965    4106.100098    4190.112793 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
