#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6567.065809    6533.092235    6600.817433    6500.582585    6632.739543       0.267890       0.248121       0.287618       0.228996       0.307001    1129.121338    1021.082825    1236.890991     917.861633    1339.414307 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5736.877484    5697.015760    5778.451797    5662.766200    5818.784298       0.440494       0.428991       0.449778       0.413344       0.454184    1289.969116    1232.853271    1348.262939    1179.501831    1404.893799 
Ariel-5    6368.796316    6342.098469    6395.799661    6316.379370    6421.764586       0.029711       0.008718       0.050644      -0.011201       0.070225    2114.286865    2076.658447    2151.767334    2040.739014    2187.841309 
Ariel-6    4819.418097    4786.532892    4852.236212    4756.610521    4883.087170      -0.016350      -0.030863       0.001705      -0.041808       0.020540     245.440475     241.965500     248.911179     238.630051     252.238434 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4514.547326    4433.355613    4588.172002    4377.131309    4640.919572       0.325676       0.265966       0.381691       0.215441       0.440003     106.900414     103.735382     110.065620     100.700249     113.084351 
Ariel-9    5060.510232    5035.676684    5085.457872    5012.032471    5109.448469      -0.570213      -0.590744      -0.549673      -0.610659      -0.529739    4537.093262    4395.179199    4679.487305    4258.978516    4816.583496 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
