#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6581.495154    6542.596275    6610.147829    6508.935098    6641.148840       0.277937       0.256000       0.294855       0.237600       0.314849    1093.995605    1023.505981    1239.098022     917.856018    1339.297852 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5742.360103    5702.826568    5784.212299    5665.654957    5821.359547       0.451755       0.445000       0.463072       0.428400       0.464889    1307.590942    1232.102051    1347.297852    1177.900024    1403.218140 
Ariel-5    6377.084524    6349.654730    6403.335536    6325.210478    6430.478266       0.039694       0.015000       0.056795      -0.005000       0.075981    2100.972900    2076.899902    2151.996582    2041.099976    2188.169434 
Ariel-6    4824.601280    4794.575166    4860.156748    4761.569313    4888.113410      -0.009818      -0.025000       0.005581      -0.035000       0.023885     245.787674     242.100006     249.042313     238.895996     252.497498 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4537.037565    4448.873970    4603.481629    4382.784300    4646.780587       0.341414       0.275000       0.390571       0.220800       0.444889     107.388092     103.968002     110.296036     100.916000     113.297798 
Ariel-9    5065.852586    5040.574961    5090.312353    5016.491885    5113.798038      -0.560212      -0.585000      -0.544123      -0.605000      -0.524366    4511.423828    4392.899902    4677.202148    4261.065918    4818.297852 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
