#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6569.167966    6535.570998    6601.527719    6502.645611    6634.010456       0.268364       0.248737       0.288020       0.229775       0.307278             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4683.323537    4604.209524    4758.007761    4547.628073    4816.104100       0.109715       0.060014       0.159426       0.011980       0.207339             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6062.182591    6040.469687    6084.354313    6019.426035    6105.544508       0.208603       0.188839       0.228227       0.169705       0.246721             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5739.788292    5697.372311    5782.224833    5657.676373    5822.459007       0.437821       0.426811       0.444042       0.410437       0.452678             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6370.100583    6343.268421    6397.134041    6317.589664    6422.730622       0.029851       0.009358       0.050393      -0.010524       0.070368             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4821.061394    4788.661807    4854.399680    4757.605523    4885.698882      -0.016487      -0.031520       0.001851      -0.042148       0.020531             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6202.799699    6160.691466    6244.602641    6120.602645    6284.716949       0.180802       0.150570       0.210837       0.119252       0.239825             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4559.727455    4445.717147    4650.649491    4338.054538    4719.386913       0.328473       0.270288       0.386146       0.217352       0.443832             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5063.341923    5039.108574    5087.554953    5016.367959    5111.008276      -0.569983      -0.590647      -0.548684      -0.609891      -0.528768             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5868.337864    5855.079894    5881.622627    5842.647279    5894.248194       0.000041      -0.011167       0.011174      -0.022014       0.021875             lum        lum_68L        lum_68U        lum_95L        lum_95U
