#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6583.146550    6542.596275    6608.311894    6509.760575    6641.123319       0.278256       0.256200       0.294880       0.238100       0.314893             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4705.277579    4613.122927    4766.970288    4552.501457    4821.164615       0.120183       0.065800       0.165063       0.019700       0.214897             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6067.722932    6047.975345    6091.780729    6026.845989    6112.859197       0.218681       0.196000       0.234853       0.178400       0.254879             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5752.763094    5704.927676    5789.721084    5665.654957    5830.583547       0.449213       0.439100       0.454893       0.426500       0.464853             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6379.640683    6349.654730    6403.377720    6325.429243    6430.488856       0.039807       0.015000       0.055863      -0.005000       0.075711             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4825.480697    4794.575166    4860.298161    4761.569313    4889.431172      -0.010154      -0.025000       0.006618      -0.035000       0.023697             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6209.474088    6169.501341    6253.347128    6127.242407    6291.337876       0.190973       0.165000       0.224880       0.134500       0.254894             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4586.683626    4479.712307    4678.538694    4341.802258    4723.272187       0.341292       0.279200       0.394869       0.225000       0.451123             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5069.121370    5043.708371    5092.075972    5020.536312    5114.909877      -0.560746      -0.585000      -0.543176      -0.596000      -0.515117             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5875.184522    5864.756544    5891.207309    5851.268955    5902.751582       0.010086       0.002700       0.024864      -0.015000       0.028732             lum        lum_68L        lum_68U        lum_95L        lum_95U
