#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6511.561980    6486.768634    6537.361601    6470.767013    6557.353429       0.265513       0.246117       0.284758       0.227075       0.303713      59.898933      59.379837      60.399784      58.870243      60.810902             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4717.024654    4670.675671    4763.611286    4625.703823    4809.192516       0.114257       0.064442       0.164064       0.015892       0.211731     180.584183     179.994156     181.180405     179.424789     181.751221             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6063.074564    6045.276615    6081.362245    6029.096266    6099.554401       0.209008       0.189437       0.228489       0.170699       0.246773      83.424454      83.281265      83.574486      83.135513      83.722458             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5700.541591    5667.260112    5731.258513    5642.347592    5764.349353       0.440920       0.428359       0.450324       0.410571       0.454269      68.697639      67.271095      70.219574      65.897507      71.545700             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6363.564451    6338.788256    6388.511138    6315.276782    6412.703618       0.028771       0.008293       0.049244      -0.011510       0.068885     100.836319      99.063057     102.629433      97.366257     104.389427             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4822.660243    4805.582153    4840.011586    4789.177094    4856.660095      -0.016547      -0.032668       0.002245      -0.042796       0.019966      18.442129      18.192230      18.692823      17.952341      18.935034             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6213.126062    6176.231446    6250.042065    6140.503096    6285.903923       0.183407       0.153951       0.212818       0.121395       0.241428      55.810799      54.599201      57.010094      53.399120      58.173920             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4556.747125    4526.583544    4587.398792    4497.580001    4617.267971       0.329354       0.275657       0.388448       0.219992       0.445768       9.390580       9.291466       9.489474       9.196733       9.584071             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.354970    5128.380609    5136.159750    5121.684395    5137.273630      -0.529317      -0.550057      -0.511933      -0.572603      -0.492995     178.145096     177.646973     178.892319     177.275543     179.705627             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5892.019137    5880.563647    5901.429612    5869.604088    5908.246764       0.005228      -0.003700       0.013862      -0.013483       0.023527     140.942535     140.552429     141.324539     140.226761     141.725204             lum        lum_68L        lum_68U        lum_95L        lum_95U
