#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6523.727349    6490.305770    6534.968260    6475.152056    6561.483756       0.275183       0.256300       0.294833       0.238500       0.314872      60.000137      59.404999      60.422192      58.953999      60.874832             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4729.795433    4674.659421    4767.566993    4631.802435    4815.382359       0.120790       0.075000       0.174433       0.025000       0.220692     180.559464     180.014999     181.199448     179.451797     181.775024             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6068.272581    6049.924623    6084.831978    6036.011190    6106.439508       0.219053       0.196300       0.234887       0.179400       0.255062      83.430580      83.294998      83.587654      83.166298      83.744873             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5713.245759    5673.747578    5737.759391    5644.559662    5764.371505       0.453310       0.445000       0.463466       0.427000       0.464893      68.520088      67.276802      70.224884      65.964996      71.608009             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6369.733403    6344.100751    6393.672252    6320.479356    6417.690500       0.038817       0.015000       0.055447      -0.004400       0.075051     101.770744      99.084999     102.648308      97.347298     104.364738             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4826.943215    4811.162469    4845.576019    4794.575166    4861.995433      -0.010082      -0.025000       0.008989      -0.035000       0.023568      18.478649      18.195000      18.694939      17.965000      18.946873             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6221.553226    6183.722478    6257.529868    6148.230934    6293.679997       0.193555       0.165000       0.223521       0.135000       0.253989      56.220222      54.625000      57.033119      53.431599      58.204830             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4562.076057    4531.583638    4592.390428    4501.477893    4621.086934       0.337071       0.285000       0.397559       0.229300       0.454852       9.408665       9.297200       9.494887       9.207600       9.594804             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.874564    5137.479513    5143.035821    5130.858736    5143.335112      -0.515855      -0.535000      -0.498855      -0.563400      -0.485127     177.869995     177.682800     178.872192     177.205002     179.480133             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5900.976063    5891.828299    5911.640444    5878.278451    5916.098012       0.015441       0.007400       0.024825      -0.002000       0.034841     140.669128     140.544998     141.307465     140.142593     141.634888             lum        lum_68L        lum_68U        lum_95L        lum_95U
