#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6511.172349    6486.558532    6536.830470    6470.607161    6557.119442       0.265278       0.245933       0.284563       0.226913       0.303546      59.874817      59.355755      60.377686      58.850243      60.792477    1160.791382    1147.990479    1173.572754    1135.282959    1184.053223             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5691.407711    5659.726669    5719.603747    5639.771035    5743.346900       0.443565       0.429324       0.451493       0.410013       0.454452      67.842476      66.760971      68.971298      65.696419      70.209877    1338.079346    1299.588745    1384.929565    1257.300537    1417.904053             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6359.136281    6336.057153    6382.415099    6314.094661    6405.293856       0.027168       0.006674       0.047886      -0.012716       0.066689     100.110741      99.042496     101.174088      98.008949     102.199898    2124.744873    2094.421143    2155.173828    2065.331055    2184.626953             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4822.856165    4808.263275    4837.302138    4794.393553    4850.547671      -0.016681      -0.033135       0.002154      -0.042978       0.019503      18.442616      18.280706      18.604410      18.125393      18.762348     245.422821     242.404419     248.444855     239.484650     251.373718             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4549.490883    4520.680552    4579.078045    4493.197056    4607.473831       0.319501       0.265961       0.373295       0.212992       0.430103       9.359984       9.269671       9.450691       9.183963       9.538540     108.438293     106.221825     110.711571     104.072845     112.897812             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.473332    5128.732543    5136.199225    5122.106167    5137.279270      -0.522095      -0.539552      -0.505761      -0.554266      -0.482815     178.803085     178.115738     179.399673     177.856628     180.022812    4134.446777    4114.430664    4160.633301    4106.863281    4187.456543             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
