#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6523.770325    6490.451857    6534.928797    6475.152056    6561.217205       0.274886       0.256300       0.294819       0.238400       0.314816      59.770275      59.404999      60.417770      58.938301      60.864849    1167.397339    1148.699951    1174.044189    1137.091919    1185.497314             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5713.493545    5671.854115    5731.164123    5642.610888    5744.374863       0.457485       0.447600       0.464854       0.426900       0.464896      67.610611      66.735001      68.940872      65.644997      70.149361    1372.803833    1302.134033    1387.097046    1258.745972    1419.097900             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6366.017335    6342.349155    6388.514645    6320.479356    6411.478622       0.037097       0.015000       0.055628      -0.003700       0.074878     100.010933      99.084999     101.211136      98.024803     102.214882    2134.002930    2093.899902    2154.372559    2065.604004    2184.896484             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4827.406968    4815.596490    4844.429643    4800.097903    4856.252183      -0.009625      -0.025000       0.009580      -0.035000       0.023381      18.477940      18.291300      18.614876      18.135000      18.771671     246.204941     242.477997     248.497589     239.617996     251.497269             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4555.566542    4525.694001    4584.098376    4500.388218    4614.771885       0.336505       0.275000       0.382191       0.218200       0.434888       9.388474       9.275000       9.455529       9.195000       9.549429     108.626404     106.500000     110.985382     104.274002     113.096886             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.939463    5137.479513    5142.872065    5131.568602    5143.335112      -0.511338      -0.528600      -0.495147      -0.545000      -0.475194     178.829849     177.949295     179.054855     177.865005     179.995941    4144.204102    4106.660156    4146.697754    4106.153809    4177.697754             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
