#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6561.008294    6529.019206    6592.339775    6497.892354    6625.159185       0.267501       0.247951       0.286863       0.228954       0.305212    1231.525757    1200.131104    1263.806885    1170.727661    1295.766113             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5699.171044    5665.256849    5728.663369    5641.418409    5762.707208       0.441425       0.428090       0.450706       0.409346       0.454329    1360.947021    1308.808838    1413.421387    1257.406372    1450.023682             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6359.366693    6336.171940    6382.761986    6314.115459    6405.677152       0.027099       0.006677       0.047676      -0.012779       0.066508    2126.431152    2092.849365    2159.943604    2060.725586    2192.147705             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4822.837631    4808.273833    4837.241060    4794.430402    4850.491752      -0.016552      -0.033099       0.002397      -0.042968       0.019896     245.377029     241.946487     248.803101     238.644470     252.115051             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4545.598829    4516.624697    4575.519862    4489.306335    4604.391516       0.328092       0.274804       0.386028       0.218933       0.443534     106.819267     103.668167     109.979843     100.646172     113.008125             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.532513    5128.881770    5136.213323    5122.033058    5137.282091      -0.516476      -0.531274      -0.497212      -0.550610      -0.472682    4120.536133    4109.054688    4141.825684    4106.479980    4176.229492             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
