#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6551.801212    6535.068713    6598.288568    6505.041399    6632.266199       0.277546       0.256500       0.294871       0.238800       0.314882    1240.197510    1199.764038    1263.297729    1169.500000    1294.401123             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5714.136581    5672.181066    5735.551729    5639.622423    5757.710878       0.455415       0.446300       0.464828       0.426300       0.464896    1398.198608    1309.135986    1413.697876    1261.985962    1453.697998             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6366.300421    6342.349155    6388.756644    6320.479356    6411.879888       0.037095       0.015000       0.055390      -0.003700       0.074841    2134.002441    2092.642090    2159.497803    2061.614014    2192.897461             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4827.735597    4815.652008    4844.424324    4800.097903    4856.158875      -0.009700      -0.025000       0.009800      -0.035000       0.023603     246.205643     242.100006     248.952835     238.699997     252.166534             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4551.119594    4521.162039    4579.970538    4495.210311    4610.239302       0.337201       0.283900       0.395014       0.230400       0.454887     107.430473     103.900002     110.209175     100.900002     113.258331             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.978967    5137.597969    5142.914415    5131.450285    5143.335112      -0.509140      -0.519100      -0.485158      -0.545000      -0.471373    4107.799805    4106.500000    4128.523926    4106.105957    4163.700684             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
