#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U
Ariel-1    6566.254693    6532.539933    6600.070991    6500.322076    6632.422763       0.268773       0.248545       0.289075       0.228962       0.309156 
Ariel-2    4666.866967    4573.656438    4764.720227    4490.097520    4860.276815       0.108458       0.058427       0.158612       0.009934       0.206950 
Ariel-3    6061.636822    6039.700403    6083.596139    6018.685864    6104.652990       0.209288       0.188840       0.229684       0.169076       0.249439 
Ariel-4    5750.196094    5709.486391    5791.851027    5671.458685    5830.807612       0.440495       0.428405       0.454054       0.412657       0.477345 
Ariel-5    6368.278879    6341.621497    6395.185238    6316.022221    6421.239320       0.029310       0.008940       0.049754      -0.010862       0.069617 
Ariel-6    4819.997553    4787.936292    4852.526572    4757.435757    4883.861957      -0.013917      -0.027335       0.002981      -0.037432       0.021559 
Ariel-7    6203.521645    6162.920667    6244.479229    6124.256145    6283.799269       0.178298       0.148559       0.208588       0.119817       0.238849 
Ariel-8    4548.030036    4468.673978    4634.038063    4414.310625    4705.264664       0.330891       0.270947       0.387232       0.219541       0.444907 
Ariel-9    5060.312990    5035.452766    5085.212199    5011.903152    5109.232490      -0.570301      -0.590826      -0.549709      -0.610706      -0.529697 
Ariel-10    5867.841760    5854.546341    5881.144771    5842.018645    5893.707837      -0.000195      -0.011337       0.010955      -0.022092       0.021721 
