#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U
Ariel-1    6578.482516    6542.596275    6610.020821    6509.010137    6641.159777       0.278793       0.255100       0.295018       0.235600       0.314881 
Ariel-2    4667.666383    4575.936851    4766.983372    4491.174841    4861.296171       0.118721       0.065000       0.164875       0.018200       0.214895 
Ariel-3    6068.259256    6048.045070    6091.774040    6027.123919    6112.859197       0.219404       0.195000       0.235448       0.175200       0.254880 
Ariel-4    5755.034250    5715.181278    5797.545318    5678.452829    5837.857252       0.449920       0.435000       0.460418       0.425000       0.489098 
Ariel-5    6375.572321    6349.654730    6403.198441    6325.283399    6430.492386       0.039255       0.015000       0.055418      -0.004800       0.075058 
Ariel-6    4825.205199    4794.575166    4859.166975    4762.774520    4889.254019      -0.007450      -0.024800       0.005037      -0.025000       0.033796 
Ariel-7    6211.431088    6169.501341    6251.026880    6131.758193    6291.351691       0.187893       0.155400       0.214885       0.126400       0.244871 
Ariel-8    4548.876521    4467.094391    4631.715982    4416.518862    4706.959477       0.357442       0.278900       0.395018       0.225000       0.450251 
Ariel-9    5066.956782    5040.691183    5090.398983    5016.607552    5113.814883      -0.560321      -0.585000      -0.544143      -0.605000      -0.524306 
Ariel-10    5874.629788    5858.684251    5885.097937    5847.027145    5898.540452       0.009835      -0.005000       0.017047      -0.015000       0.028469 
