#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U
Ariel-1    6568.270050    6533.128101    6601.897387    6500.379173    6633.267543       0.268280       0.248544       0.287896       0.229491       0.306637      59.216721      58.626434      59.813667      58.054790      60.376339 
Ariel-2    4665.135368    4564.135207    4766.569909    4486.684835    4859.721863       0.108317       0.057942       0.158704       0.009340       0.206988     180.582642     179.992844     181.178894     179.423111     181.748596 
Ariel-3    6061.290750    6039.342321    6083.485928    6018.239822    6104.572558       0.208491       0.188727       0.228170       0.169634       0.246629      83.426620      83.282768      83.579781      83.138588      83.724297 
Ariel-4    5738.802106    5697.463016    5780.409406    5659.875810    5820.538283       0.439222       0.427976       0.447768       0.411944       0.453870      66.929901      65.091019      68.786285      63.346882      70.570160 
Ariel-5    6369.034071    6342.359601    6396.073538    6316.590895    6421.933808       0.029693       0.009151       0.050342      -0.010672       0.070249     100.027596      97.601105     102.452789      95.268791     104.774734 
Ariel-6    4823.377779    4790.873201    4856.156209    4760.644046    4886.828196      -0.015976      -0.030981       0.002315      -0.041970       0.021354      18.468689      18.211666      18.724838      17.964670      18.970001 
Ariel-7    6202.854182    6161.719707    6244.304399    6122.649278    6283.906210       0.181589       0.149631       0.211986       0.117406       0.240828      56.549129      54.878792      58.216232      53.272041      59.804035 
Ariel-8    4565.583683    4485.069335    4627.974617    4401.988086    4673.245609       0.331725       0.274073       0.389484       0.220545       0.446539       9.400070       9.301128       9.499019       9.206114       9.592900 
Ariel-9    5060.329658    5035.477646    5085.237324    5011.905904    5109.125906      -0.570121      -0.591018      -0.549560      -0.610643      -0.530419     179.588333     178.797256     180.375229     178.039124     181.136627 
Ariel-10    5867.941622    5854.684546    5881.315891    5842.076374    5894.121999       0.001775      -0.009643       0.011992      -0.022621       0.021664     141.193192     140.796707     141.586716     140.418243     141.972961 
