#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U
Ariel-1    6559.686546    6550.132509    6617.689213    6512.534375    6645.244394       0.278366       0.256100       0.294866       0.238300       0.314869      59.448666      58.615002      59.799862      58.073700      60.394833 
Ariel-2    4693.546876    4564.781702    4767.056648    4490.038362    4863.025828       0.117936       0.065000       0.165417       0.017500       0.214851     180.560440     180.009293     181.194855     179.440506     181.765045 
Ariel-3    6067.836189    6049.924623    6093.757507    6026.707029    6112.839062       0.218513       0.196000       0.234878       0.178400       0.254875      83.490685      83.270103      83.564896      83.164398      83.744881 
Ariel-4    5746.074873    5704.927676    5787.877885    5664.022271    5824.431525       0.450247       0.445000       0.463829       0.427500       0.464882      66.330528      65.064102      68.754883      63.306099      70.524887 
Ariel-5    6377.399612    6349.654730    6403.353113    6325.283399    6430.499447       0.039573       0.015000       0.055969      -0.005000       0.075620     100.010941      97.613701     102.464859      95.274902     104.774895 
Ariel-6    4826.415915    4795.899306    4861.168072    4767.054031    4893.249588      -0.009449      -0.025000       0.006647      -0.035000       0.024392      18.570787      18.215000      18.727007      17.965000      18.970068 
Ariel-7    6208.891198    6169.501341    6252.073631    6129.994555    6291.344784       0.192538       0.163100       0.224822       0.125000       0.248182      56.379921      54.904999      58.238548      53.294399      59.824848 
Ariel-8    4587.522195    4510.764408    4649.120430    4418.247923    4686.896082       0.342382       0.285000       0.400282       0.229200       0.454829       9.408301       9.315000       9.512743       9.218200       9.604865 
Ariel-9    5067.243300    5040.574961    5090.289997    5016.781058    5113.885068      -0.559717      -0.576400      -0.535156      -0.604600      -0.525104     179.609421     178.820999     180.394821     178.071701     181.164825 
Ariel-10    5874.626563    5858.616709    5885.072090    5846.690116    5898.669981       0.012329       0.005000       0.024394      -0.009200       0.034816     141.116104     140.785004     141.563751     140.448303     141.994873 
