#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6568.147453    6532.934430    6601.792283    6500.257843    6633.165581       0.268144       0.248419       0.287732       0.229361       0.306418      59.194218      58.606922      59.782578      58.041553      60.347778    1147.474609    1133.230469    1161.802856    1119.543213    1175.544312 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5737.740492    5696.499739    5779.796987    5658.925101    5820.113316       0.439550       0.428124       0.448546       0.411920       0.453992      66.405815      64.959389      67.855431      63.558334      69.259506    1320.392822    1282.740112    1357.373169    1245.878662    1392.870728 
Ariel-5    6368.820790    6342.150695    6395.778595    6316.434851    6421.739908       0.029715       0.008671       0.050582      -0.011217       0.069953      99.730209      98.522514     100.933151      97.347260     102.090561    2116.085205    2083.154541    2149.124756    2051.275879    2181.082764 
Ariel-6    4821.487525    4798.364285    4845.150418    4775.252323    4866.874387      -0.016656      -0.031853       0.001286      -0.042447       0.019044      18.462540      18.236160      18.685614      18.016371      18.903097     245.516235     242.357956     248.660172     239.308304     251.738220 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4531.546322    4487.246456    4575.183285    4443.572372    4616.913115       0.327962       0.272037       0.382384       0.217962       0.439847       9.389762       9.291236       9.488543       9.196898       9.582878     107.528130     104.506470     110.541870     101.624069     113.408066 
Ariel-9    5063.422534    5038.837478    5088.200168    5015.299567    5111.953930      -0.562627      -0.582824      -0.544195      -0.602175      -0.525087     180.126709     179.497192     180.838943     178.981796     181.518860    4144.277832    4121.142090    4171.389648    4108.758789    4197.658203 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
