#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6559.722558    6550.132509    6617.758240    6512.534375    6645.339245       0.278244       0.256100       0.294831       0.238400       0.314896      59.448669      58.634998      59.809032      58.044998      60.349907    1150.586548    1133.299927    1161.798340    1119.933960    1175.900391 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5743.425725    5704.927676    5788.271899    5663.372437    5824.290837       0.450609       0.445000       0.463671       0.427500       0.464874      66.299828      64.964699      67.854851      63.544998      69.245056    1318.413330    1283.953979    1358.497437    1246.842041    1393.697510 
Ariel-5    6377.473134    6349.654730    6403.265230    6325.283399    6430.464145       0.039811       0.015000       0.056804      -0.005000       0.075618     100.010941      98.548203     100.954842      97.396202     102.134850    2100.973145    2084.300049    2150.084229    2050.500000    2180.089600 
Ariel-6    4825.830389    4805.627002    4852.428007    4780.739680    4872.413531      -0.009487      -0.025000       0.006737      -0.035000       0.022941      18.478666      18.236500      18.684889      18.035000      18.921225     245.750061     242.598007     248.897461     239.500000     251.927643 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4538.574611    4495.210311    4583.195015    4448.873970    4622.342860       0.341686       0.284700       0.394837       0.225000       0.446167       9.391249       9.297900       9.495019       9.205000       9.590837     108.001778     104.667999     110.700432     101.900002     113.675743 
Ariel-9    5069.438624    5046.788317    5096.158955    5020.536312    5117.196082      -0.550874      -0.573500      -0.535172      -0.592100      -0.515129     180.297272     179.414993     180.750153     178.955002     181.473450    4155.011719    4115.020020    4163.900879    4106.058105    4189.497559 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
