#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6567.386678    6533.429378    6601.092841    6500.764590    6632.914324       0.267956       0.248221       0.287595       0.229142       0.306769    1152.692261    1054.178589    1251.973877     960.406799    1347.599609 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5737.614497    5697.253458    5779.346441    5662.340319    5819.650042       0.440195       0.428745       0.449451       0.413002       0.454133    1298.190430    1242.011841    1355.453369    1188.992188    1410.875854 
Ariel-5    6368.866243    6342.175067    6395.866374    6316.441786    6421.817467       0.029726       0.008726       0.050644      -0.011208       0.070209    2115.110840    2077.605469    2152.554199    2041.529053    2188.494141 
Ariel-6    4819.899649    4787.047950    4852.705059    4757.007452    4883.478569      -0.016372      -0.030898       0.001692      -0.041839       0.020531     245.637848     242.180389     249.116058     238.845657     252.421417 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4520.050229    4438.235671    4592.382865    4380.301953    4644.113023       0.325004       0.265390       0.381063       0.214944       0.439381     107.584274     104.452690     110.705795     101.426888     113.650406 
Ariel-9    5060.287988    5035.452766    5085.214990    5011.828864    5109.201636      -0.570220      -0.590750      -0.549684      -0.610663      -0.529752    4520.968262    4380.137695    4662.715332    4246.150391    4799.297363 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
