#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
Ariel-1    6582.499674    6542.596275    6610.100654    6508.935098    6641.141548       0.278040       0.256100       0.294855       0.237900       0.314851    1131.394653    1053.303955    1251.023071     961.309998    1348.301392 
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5744.113125    5702.169152    5784.199597    5667.350338    5824.255666       0.451333       0.445000       0.463205       0.428200       0.464892    1307.590942    1241.500000    1354.824951    1188.697998    1410.496582 
Ariel-5    6377.249068    6349.654730    6403.332021    6325.210478    6430.464145       0.039729       0.015000       0.056794      -0.005000       0.075966    2100.972900    2077.229980    2152.096924    2041.026001    2187.696777 
Ariel-6    4824.895284    4794.575166    4860.084709    4762.719613    4889.278176      -0.009842      -0.025000       0.005605      -0.035000       0.023884     245.789017     242.300003     249.228348     239.126007     252.696594 
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4538.609494    4453.998503    4607.377715    4387.832707    4651.928774       0.341177       0.275000       0.390542       0.220900       0.444873     107.977409     104.699997     110.950989     101.685997     113.900078 
Ariel-9    5065.713535    5040.574961    5090.295586    5016.549718    5113.800846      -0.560216      -0.585000      -0.544131      -0.605000      -0.524384    4511.423828    4379.700195    4661.675781    4244.209961    4797.097656 
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
