#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6569.680086    6536.055382    6601.937255    6503.366754    6634.298175       0.268411       0.248785       0.288074       0.229831       0.307358             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4672.355460    4600.876807    4746.643279    4547.098835    4807.413387       0.109124       0.059349       0.158913       0.011249       0.206899             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6062.295745    6040.671972    6084.431138    6019.660662    6105.567970       0.208646       0.188888       0.228266       0.169770       0.246759             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5741.792693    5699.753017    5783.472475    5660.080886    5823.251770       0.437733       0.426787       0.443867       0.410508       0.452429             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6370.422320    6343.661936    6397.337735    6318.137668    6422.804667       0.029928       0.009442       0.050460      -0.010431       0.070428             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4831.956760    4801.015024    4863.009810    4771.615048    4892.140276      -0.015217      -0.031280       0.003044      -0.042256       0.021892             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6206.090001    6164.500877    6247.369776    6124.353646    6287.249890       0.181855       0.151782       0.211710       0.120203       0.240595             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4629.046900    4567.621849    4685.776958    4505.987650    4736.486300       0.333880       0.277017       0.393091       0.224470       0.449531             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5066.773196    5042.811330    5090.628139    5019.927235    5113.635214      -0.568889      -0.589728      -0.547759      -0.609163      -0.528013             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5868.569824    5855.349902    5881.838967    5842.996906    5894.471470       0.000103      -0.011097       0.011223      -0.021949       0.021918             lum        lum_68L        lum_68U        lum_95L        lum_95U
