#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6583.254971    6542.596275    6608.039813    6510.285934    6641.170715       0.278297       0.256200       0.294888       0.238200       0.315047             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4668.135336    4604.793440    4750.550993    4550.772320    4811.080591       0.119591       0.065700       0.165030       0.019600       0.215025             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6067.742919    6048.184522    6091.871025    6027.054436    6112.852485       0.218724       0.196000       0.234851       0.178400       0.254866             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5753.511624    5707.095353    5790.836822    5665.654957    5828.874534       0.449153       0.439500       0.454891       0.426500       0.464829             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6379.847321    6349.654730    6403.170319    6326.012655    6430.601824       0.039884       0.015000       0.055879      -0.005000       0.075744             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4838.303394    4805.627002    4867.539714    4778.042428    4898.493351      -0.007748      -0.025000       0.008386      -0.035000       0.024649             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6211.328791    6172.343627    6255.211502    6134.088051    6297.073818       0.192055       0.165000       0.224394       0.135000       0.254680             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4636.951847    4578.361663    4696.260882    4514.919100    4745.155596       0.340156       0.285000       0.400844       0.235000       0.459927             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5071.810308    5048.473112    5096.282055    5026.145491    5119.798094      -0.559584      -0.576700      -0.535156      -0.595500      -0.515107             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5875.445782    5864.756544    5891.065008    5851.268955    5902.540955       0.010140       0.002800       0.024896      -0.008900       0.034852             lum        lum_68L        lum_68U        lum_95L        lum_95U
