#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6511.840814    6486.939569    6537.691786    6470.894898    6557.508224       0.265617       0.246202       0.284840       0.227153       0.303779      59.909000      59.396061      60.411541      58.885727      60.818295             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4716.087331    4669.775757    4762.659477    4624.680552    4808.271194       0.113363       0.063491       0.163196       0.015149       0.210856     180.576111     179.986130     181.172607     179.416321     181.743744             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6063.081221    6045.283252    6081.372261    6029.102886    6099.567795       0.209022       0.189452       0.228503       0.170718       0.246791      83.424515      83.281471      83.574600      83.135689      83.722549             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5701.806040    5668.582529    5732.942053    5642.936153    5765.998297       0.440691       0.428315       0.450135       0.410740       0.454240      68.821655      67.393532      70.314522      66.049629      71.606079             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6363.829960    6339.094492    6388.756644    6315.564546    6412.890205       0.028857       0.008375       0.049321      -0.011436       0.068964     100.874931      99.112022     102.662186      97.424690     104.417198             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4823.973601    4806.774751    4841.377510    4790.199946    4858.006715      -0.016064      -0.032491       0.002600      -0.042758       0.020314      18.466665      18.216936      18.714199      17.978315      18.953762             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6214.538326    6177.696368    6251.376922    6142.080931    6287.122184       0.183894       0.154568       0.213203       0.121898       0.241788      55.888008      54.690567      57.072720      53.510075      58.227093             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4559.967768    4529.817683    4590.499973    4501.181356    4620.280276       0.332446       0.278886       0.392126       0.223957       0.449293       9.401853       9.303404       9.500492       9.208336       9.593871             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.352152    5128.372163    5136.156930    5121.673149    5137.270810      -0.529420      -0.550291      -0.512052      -0.572684      -0.493284     178.124039     177.634796     178.890808     177.275085     179.702850             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5892.009433    5880.553962    5901.423132    5869.584754    5908.240277       0.005220      -0.003705       0.013858      -0.013488       0.023523     140.941238     140.552002     141.323730     140.226089     141.723038             lum        lum_68L        lum_68U        lum_95L        lum_95U
