#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6523.738093    6490.156124    6534.939560    6475.152056    6561.653058       0.275328       0.256300       0.294833       0.238500       0.314848      60.000145      59.404999      60.419056      58.965000      60.874504             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2    4729.587713    4674.659421    4767.546055    4631.802435    4815.535687       0.120469       0.075000       0.174411       0.025000       0.220588     180.559464     180.014999     181.199615     179.451004     181.774887             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-3    6068.272581    6049.924623    6084.835319    6036.011190    6106.439508       0.219067       0.196300       0.234889       0.179400       0.255061      83.430580      83.294998      83.587624      83.166397      83.744873             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-4    5713.339854    5673.551351    5737.771991    5646.118546    5767.204446       0.452684       0.445000       0.463499       0.427100       0.464897      68.520088      67.350403      70.264870      66.092102      71.645020             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6369.936223    6344.027613    6393.577483    6320.479356    6417.662314       0.038910       0.015000       0.055465      -0.004600       0.074874     101.770744      99.114998     102.657135      97.454102     104.435036             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4827.751499    4811.162469    4845.576019    4794.575166    4862.094192      -0.009033      -0.025000       0.009301      -0.035000       0.023798      18.478819      18.235001      18.731844      17.994600      18.969891             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7    6223.319291    6183.722478    6257.316886    6148.230934    6293.196302       0.194068       0.165000       0.223422       0.135000       0.253854      56.220226      54.704700      57.085007      53.518398      58.235027             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-8    4565.881955    4533.984947    4594.639824    4505.574562    4624.716096       0.337095       0.285000       0.397822       0.235000       0.460162       9.409354       9.315000       9.511850       9.219500       9.604855             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.874564    5137.479513    5143.038645    5130.858736    5143.335112      -0.515949      -0.535000      -0.498796      -0.563400      -0.485172     177.869995     177.685196     178.904861     177.205002     179.431061             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10    5900.963105    5891.828299    5911.650180    5878.278451    5916.107755       0.015432       0.007400       0.024826      -0.002000       0.034845     140.669128     140.544998     141.307175     140.143997     141.634857             lum        lum_68L        lum_68U        lum_95L        lum_95U
