#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6511.454740    6486.725901    6537.178571    6470.727938    6557.274232       0.265382       0.246017       0.284645       0.226989       0.303613      59.884308      59.372700      60.384769      58.865932      60.798180    1161.195557    1148.498291    1173.799561    1135.723511    1184.217529             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5692.054512    5660.301506    5720.024515    5639.944420    5744.349634       0.443354       0.429332       0.451434       0.410218       0.454443      67.921463      66.845001      69.058083      65.793449      70.286118    1342.133911    1303.570068    1387.630005    1260.886475    1419.703979             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6359.279415    6336.192811    6382.555253    6314.212517    6405.413414       0.027217       0.006706       0.047927      -0.012700       0.066714     100.126976      99.062157     101.189575      98.026436     102.216377    2125.249023    2095.000732    2155.697754    2065.902100    2185.083252             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4823.258624    4808.653957    4837.660654    4794.762051    4851.061628      -0.016589      -0.033103       0.002206      -0.042971       0.019508      18.448692      18.286516      18.610579      18.130087      18.768255     245.579620     242.578506     248.605988     239.679535     251.542313             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4551.419420    4522.619221    4581.071937    4495.454627    4609.343442       0.320412       0.267416       0.374685       0.214528       0.431456       9.366004       9.275643       9.456582       9.189382       9.544035     108.778976     106.563179     111.036751     104.433220     113.210320             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.473332    5128.726912    5136.199225    5122.094920    5137.279270      -0.522135      -0.539609      -0.505828      -0.554286      -0.482947     178.800110     178.113617     179.396103     177.856491     180.017181    4134.407715    4114.366699    4160.248047    4106.857910    4187.404785             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
