#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6523.777488    6490.380595    6534.957498    6475.152056    6561.393704       0.275023       0.256300       0.294817       0.238500       0.314880      60.000130      59.404999      60.413906      58.956799      60.874866    1167.397339    1148.699951    1173.998657    1137.725952    1185.897095             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5713.321035    5672.050283    5731.138953    5641.765286    5744.359095       0.457340       0.447500       0.464845       0.427000       0.464892      67.610596      66.819702      69.024872      65.775002      70.263222    1372.803833    1305.927979    1389.697388    1262.099976    1420.594604             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6366.160624    6342.349155    6388.511138    6320.479356    6411.478622       0.037170       0.015000       0.055639      -0.003700       0.074880     100.010941      99.084999     101.206932      98.065002     102.247581    2134.002930    2093.899902    2154.307617    2065.788086    2184.896729             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4827.756800    4815.652008    4844.421664    4800.097903    4856.286841      -0.009409      -0.025000       0.009620      -0.035000       0.023393      18.478054      18.305000      18.628340      18.135000      18.771652     246.205872     242.882004     248.897980     239.899994     251.757751             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4556.289362    4526.369839    4584.727563    4500.388218    4614.326025       0.336062       0.277700       0.384868       0.225000       0.441808       9.388970       9.294200       9.474878       9.195000       9.549472     109.245018     106.634003     111.101303     104.699997     113.472382             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.939463    5137.479513    5142.874889    5131.568602    5143.337936      -0.511341      -0.528600      -0.495169      -0.545000      -0.475252     178.829849     177.950699     179.054886     177.865005     179.993530    4144.204102    4106.912109    4146.697266    4106.500000    4177.693848             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
