#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6561.699887    6529.675165    6592.784934    6498.448862    6625.471981       0.267555       0.248002       0.286926       0.229010       0.305310    1232.270630    1201.078125    1264.250977    1171.889160    1296.337524             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5700.413284    5666.544580    5730.198294    5641.889176    5764.406315       0.441139       0.428022       0.450534       0.409457       0.454302    1367.482788    1313.108398    1416.542480    1262.950317    1451.858154             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6359.520306    6336.321514    6382.912660    6314.250647    6405.807267       0.027142       0.006705       0.047711      -0.012766       0.066527    2126.843506    2093.739990    2160.451172    2061.488770    2192.479736             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4823.224202    4808.653957    4837.580982    4794.775212    4850.979072      -0.016547      -0.033114       0.002373      -0.042974       0.019825     245.576965     242.166107     249.013580     238.859955     252.294281             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4548.434531    4519.427438    4578.263641    4492.087192    4607.117199       0.327290       0.273917       0.385216       0.218319       0.442898     107.510872     104.396317     110.635323     101.384697     113.579369             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5133.529695    5128.876139    5136.216143    5122.027434    5137.282091      -0.516492      -0.531267      -0.497230      -0.550620      -0.472688    4120.516602    4109.039551    4141.785156    4106.478027    4175.203613             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
