#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U            lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-1    6551.865955    6535.068713    6598.111076    6505.041399    6631.902112       0.277596       0.256500       0.294875       0.238800       0.314884    1240.197510    1200.218018    1263.297852    1171.500000    1295.547852             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-2 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-3 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-4    5714.145992    5674.140053    5737.753091    5644.429516    5764.279735       0.454590       0.445000       0.463637       0.426300       0.464885    1398.198730    1311.725952    1415.098022    1272.787964    1459.496948             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-5    6366.447212    6342.349155    6388.749629    6320.479356    6411.876368       0.037159       0.015000       0.055400      -0.003700       0.074842    2134.002441    2093.644043    2160.301514    2062.006104    2192.897705             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-6    4828.316053    4815.763044    4844.450919    4800.097903    4856.177536      -0.009627      -0.025000       0.009804      -0.035000       0.023564     246.206619     242.300003     249.138626     239.270004     252.696289             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-7 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
Ariel-8    4554.111244    4525.172284    4584.002747    4495.573089    4610.439250       0.336723       0.283700       0.394891       0.225000       0.449348     107.453125     104.699997     110.936066     101.699997     113.888680             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-9    5139.978967    5137.479513    5142.795836    5131.450285    5143.337936      -0.509151      -0.519100      -0.485185      -0.545000      -0.471469    4107.799805    4106.500000    4128.266113    4106.500000    4163.821289             lum        lum_68L        lum_68U        lum_95L        lum_95U
Ariel-10 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 -99.9000 
