#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
False-positive    5787.480720    5690.707874    5884.904092    5599.372776    5978.986056      -0.068998      -0.164013       0.025163      -0.257187       0.113695      70.431961      69.586906      71.277153      68.767014      72.085609    1286.557861    1264.747070    1308.532227    1243.722290    1330.382935 
HAT-P7    6338.179310    6259.354253    6417.961790    6184.710425    6494.932247       0.246418       0.168153       0.324500       0.089276       0.395182      59.206432      58.625969      59.786350      58.070187      60.342541    1136.724243    1119.302856    1154.054565    1102.345825    1170.457886 
KOI-268    6346.915460    6262.093547    6432.211826    6181.363588    6513.943173       0.008810      -0.085202       0.101625      -0.178373       0.192144      94.017807      92.756836      95.268372      91.568161      96.382492    1953.289307    1916.419312    1990.378906    1882.803833    2025.610107 
KOI-269    6455.339964    6347.438130    6564.629158    6245.840328    6670.592189       0.097274      -0.006673       0.201363      -0.107155       0.301909      88.966393      87.784981      90.146172      86.638611      91.271637    1853.156494    1815.557739    1891.233032    1779.647583    1928.129395 
KOI-276    5975.333930    5895.261093    6055.979026    5819.333759    6134.333882      -0.006015      -0.098369       0.086217      -0.191321       0.175811     108.679123     107.008614     110.343597     105.385216     111.926262    2312.400391    2259.699707    2365.419922    2208.993896    2416.649170 
KOI-280    6130.529651    6041.504396    6220.351085    5957.250628    6307.079292      -0.221654      -0.316733      -0.129606      -0.409038      -0.040106     129.203125     127.994263     130.410294     126.820541     131.553619    2852.785889    2803.518799    2902.523438    2756.515869    2950.184326 
KOI-281    5629.022287    5524.122709    5735.920139    5424.860688    5839.504783      -0.354267      -0.458569      -0.249767      -0.558718      -0.149589      78.000847      76.837967      79.156746      75.708908      80.227539    1392.335571    1361.217651    1423.914795    1331.540649    1454.764404 
KOI-288    6160.684701    6073.158313    6252.869966    5994.880533    6342.801808       0.228218       0.148142       0.312323       0.070151       0.389236      53.578747      53.274265      53.883221      52.980267      54.173630     999.302734     986.836243    1011.042908     973.872559    1021.624573 
KOI-319    5922.233064    5870.219577    5974.461425    5821.890074    6022.288446       0.172026       0.085742       0.266415       0.005606       0.338439      52.256992      51.577667      52.935219      50.924019      53.582359     922.903992     904.187683     954.163574     887.634460     986.450195 
KOI-5    5947.982973    5892.533460    5999.845512    5832.978288    6051.203452       0.167338       0.119193       0.213210       0.075205       0.256228      62.003082      61.092045      62.912716      60.214935      63.786846    1159.991455    1124.926025    1191.987183    1099.113037    1217.044434 
KOI-75    5814.285142    5764.520239    5864.621322    5717.462707    5913.458128      -0.191095      -0.261058      -0.116371      -0.331450      -0.046744      39.903664      39.449081      40.364899      39.021999      40.807774     638.588623     631.515930     645.713684     624.968506     652.580933 
KOI-974    6264.627687    6196.499861    6334.193025    6128.204509    6401.824137      -0.076774      -0.148495      -0.007330      -0.237332       0.066147      60.071274      59.806488      60.336174      59.551708      60.587860    1103.101685    1068.352051    1116.826660    1050.184570    1129.827271 
Kepler-10    5639.148750    5566.596384    5713.070121    5497.804772    5783.815386      -0.147740      -0.247738      -0.048697      -0.342001       0.045407     118.192291     117.995964     118.393181     117.806175     118.580887    2495.189209    2454.781006    2537.151611    2418.188721    2575.554443 
Kepler-100    5829.348143    5753.893822    5904.044678    5682.834398    5973.720224       0.061050      -0.028823       0.140907      -0.113255       0.212675      77.420067      76.447441      78.360214      75.486473      79.244896    1488.707397    1463.593872    1515.693970    1440.525269    1542.462036 
Kepler-103    5848.491041    5764.320873    5930.714963    5682.198003    6012.919612       0.111179       0.014734       0.196257      -0.085357       0.284586      82.198021      80.825310      83.562599      79.498077      84.860847    1631.385864    1591.615112    1670.487671    1553.717896    1707.101074 
Kepler-109    5943.658000    5870.074561    6018.229911    5800.416852    6089.242964      -0.092371      -0.192007       0.004423      -0.289783       0.091192      90.691856      88.645950      92.737450      86.675430      94.718452    1794.695312    1737.003662    1853.079102    1682.218018    1909.934570 
Kepler-126    6289.801117    6201.744174    6381.360539    6122.696335    6462.857292      -0.140388      -0.191798      -0.089306      -0.240821      -0.033295      93.141327      92.821259      93.462318      92.519783      93.738525    1887.003296    1876.778198    1900.489258    1872.666016    1915.407715 
Kepler-128    6143.544498    6049.413167    6226.569204    5947.591148    6310.081955      -0.083881      -0.142934      -0.020758      -0.208933       0.039797      69.020744      68.414474      69.624100      67.828331      70.191917    1293.683228    1262.718140    1317.234497    1241.142090    1335.331787 
