#Id                                 Teff       Teff_68L       Teff_68U       Teff_95L       Teff_95U             MH         MH_68L         MH_68U         MH_95L         MH_95U            Dnu        Dnu_68L        Dnu_68U        Dnu_95L        Dnu_95U          numax      numax_68L      numax_68U      numax_95L      numax_95U
False-positive    5789.155350    5697.509933    5891.860644    5607.250669    5987.207396      -0.054886      -0.154200       0.034869      -0.245900       0.124849      70.250839      69.625900      71.314896      68.807198      72.124825    1286.766235    1264.900024    1308.680054    1243.099976    1329.724609 
HAT-P7    6337.956624    6269.747233    6428.452251    6190.848734    6501.150030       0.252623       0.178600       0.334838       0.105000       0.410223      59.379456      58.645000      59.803986      58.063900      60.335045    1140.789062    1119.900024    1154.615723    1102.500000    1170.607178 
KOI-268    6353.887935    6269.747233    6439.985049    6190.848734    6523.680791       0.014603      -0.071800       0.114888      -0.165200       0.204872      94.309921      92.815002      95.320694      91.614998      96.422127    1944.817505    1916.300049    1990.212036    1881.500000    2024.216553 
KOI-269    6464.195016    6355.433374    6572.796942    6254.318731    6679.485824       0.103640       0.005000       0.212874      -0.095000       0.313805      88.709564      87.804398      90.164894      86.652000      91.284866    1845.594727    1814.849976    1890.496338    1779.699951    1928.150757 
KOI-276    5989.988718    5902.962218    6063.783576    5825.793816    6141.045853      -0.010767      -0.085000       0.099295      -0.182100       0.184822     108.428673     107.081100     110.414879     105.405899     111.945015    2320.200684    2260.194092    2365.896484    2209.877930    2417.496582 
KOI-280    6138.790863    6047.696453    6226.651243    5963.140268    6313.228144      -0.208248      -0.305000      -0.118099      -0.395000      -0.026408     128.928070     128.014999     130.430511     126.862396     131.594833    2850.807373    2803.354004    2902.296631    2756.652100    2950.296143 
KOI-281    5638.384145    5530.318807    5742.284445    5429.627797    5844.540005      -0.348988      -0.445000      -0.236383      -0.545000      -0.136198      77.929337      76.846397      79.164894      75.764999      80.280312    1403.166626    1361.401978    1424.095093    1331.689941    1454.897827 
KOI-288    6158.243319    6075.822792    6255.211502    6001.364142    6349.445583       0.230200       0.155000       0.318817       0.087000       0.405006      53.540237      53.276600      53.884819      52.991699      54.184891     999.188477     987.900024    1012.041260     975.133972    1022.694763 
KOI-319    5922.824808    5876.448997    5980.732515    5828.544950    6029.099576       0.158409       0.094500       0.274871       0.022100       0.354818      52.380775      51.595001      52.951767      50.937000      53.595055     918.589233     896.900024     941.015503     885.700012     984.140015 
KOI-5    5952.461410    5900.992260    6008.177993    5844.536797    6062.818275       0.195991       0.131100       0.224892       0.085000       0.265843      62.019939      61.125000      62.944309      60.235001      63.806679    1175.012451    1125.900024    1192.891724    1099.500000    1217.415161 
KOI-75    5820.487157    5770.985978    5871.134875    5722.951906    5919.060760      -0.189737      -0.249700      -0.105134      -0.319700      -0.035177      39.936241      39.449501      40.365013      39.025002      40.810368     638.480591     631.700012     645.895081     624.901978     652.500916 
KOI-974    6257.591703    6197.979799    6335.629329    6134.512369    6408.311614      -0.063818      -0.135000       0.005465      -0.225000       0.077987      60.079903      59.825001      60.354469      59.564999      60.601002    1108.035645    1090.500000    1125.484863    1051.083984    1130.697266 
Kepler-10    5644.020506    5568.650357    5714.986756    5504.781190    5790.973523      -0.148778      -0.235000      -0.036065      -0.335000       0.052238     118.198807     118.018600     118.414879     117.820503     118.594810    2476.026855    2455.238037    2537.497559    2417.803955    2575.097412 
Kepler-100    5836.072417    5762.023910    5912.124023    5689.577070    5980.722665       0.090810      -0.014300       0.154814      -0.100100       0.225029      77.471954      76.474503      78.385048      75.514999      79.268410    1491.007080    1461.500000    1513.456055    1439.099976    1540.966064 
Kepler-103    5865.490666    5770.985978    5937.504013    5691.085900    6022.146285       0.126771       0.033800       0.214867      -0.074900       0.294852      82.440247      80.864998      83.600616      79.523300      84.884895    1630.180054    1592.473999    1671.297119    1554.699951    1708.029053 
Kepler-109    5949.148806    5874.149275    6022.037187    5804.303008    6093.192170      -0.077746      -0.181500       0.014805      -0.275500       0.104881      90.601654      88.684998      92.775429      86.695000      94.737137    1785.017822    1735.874023    1851.896606    1681.099976    1908.729370 
Kepler-126    6297.177528    6199.762997    6378.880731    6141.153735    6480.287111      -0.124059      -0.185000      -0.082669      -0.235000      -0.028728      93.129723      92.855003      93.491997      92.535004      93.752739    1884.595581    1872.099976    1893.456421    1871.900024    1910.579834 
Kepler-128    6161.317184    6064.502659    6240.839660    5960.054025    6322.311682      -0.077781      -0.135000      -0.013121      -0.195000       0.053321      69.048538      68.425003      69.634483      67.841599      70.204826    1305.017822    1267.767944    1321.696167    1241.566040    1335.697266 
Kepler-129    5770.865589    5704.927676    5852.515431    5633.133774    5928.420041       0.313169       0.245000       0.394296       0.187500       0.454824      69.622292      68.681900      70.964851      67.622803      72.104881    1384.833740    1348.900024    1407.485840    1316.904053    1433.296143 
Kepler-145    6125.567500    6022.129755    6218.876048    5934.786158    6327.665947       0.103965       0.012600       0.195034      -0.065000       0.304244      61.690517      61.021400      62.494808      60.325001      63.212688    1172.212646    1135.300049    1196.108032    1094.764038    1211.697266 
Kepler-21    6297.384953    6251.222489    6349.675645    6208.618520    6400.910440      -0.026000      -0.111300       0.054899      -0.165000       0.152978      60.800209      60.464199      61.494865      59.985001      62.006199    1140.405640    1119.552002    1154.297241    1098.897949    1172.150757 
Kepler-25    6276.417855    6197.979799    6356.096318    6127.030496    6435.560227       0.006822      -0.085000       0.094620      -0.165900       0.184833      98.549934      97.906502      98.994850      97.370697      99.504845    2058.807129    2032.900024    2087.716553    2005.995972    2115.097900 
Kepler-36    5966.424632    5891.556608    6049.934587    5816.947813    6126.932952      -0.227371      -0.285000      -0.168640      -0.345000      -0.114559      68.640053      67.435699      69.485031      66.445000      70.465607    1208.168091    1194.598022    1243.497803    1170.900024    1266.876221 
Kepler-37    5419.901383    5351.618020    5479.511903    5285.973492    5536.600881      -0.150411      -0.187900      -0.105152      -0.225000      -0.066164     182.569046     181.596603     182.854874     180.629395     182.904892    4522.191406    4510.507812    4550.297363    4509.899902    4581.732910 
Kepler-4    5771.911152    5713.076394    5864.672835    5639.622423    5934.505970       0.108640       0.035000       0.213756      -0.065000       0.277613      74.569962      73.630096      75.574821      72.669098      76.494827    1426.986450    1393.900024    1454.801025    1369.099976    1489.571045 
Kepler-408    6116.806929    6042.963902    6188.269698    5973.792372    6258.038306      -0.127710      -0.195000      -0.026857      -0.285400       0.045004     103.309280     102.850502     104.044815     102.275002     104.608551    2148.817871    2109.271973    2167.896973    2082.500000    2197.270508 
Kepler-409    5445.036261    5376.814044    5523.852811    5306.707419    5594.263149       0.039421      -0.055000       0.120557      -0.143600       0.204899     153.160019     153.044998     153.321274     152.902893     153.444901    3652.814697    3603.625977    3708.500488    3552.345947    3760.896729 
Kepler-410    6332.051346    6259.794109    6408.424192    6191.559091    6482.510956       0.077320      -0.004700       0.154873      -0.080900       0.234893      94.970695      94.205002      95.310440      93.665001      95.828247    1981.619873    1964.099976    2008.872314    1942.758057    2030.696167 
Kepler-444    5040.475344    4981.211761    5125.560380    4914.112699    5196.907325      -0.302014      -0.384200      -0.225130      -0.464900      -0.145151     179.740051     179.125000     180.605713     178.423294     181.315048    4321.419434    4243.299805    4370.212891    4181.899902    4429.539551 
Kepler-50    6202.735000    6141.153735    6292.812827    6077.851114    6371.338659      -0.007675      -0.092800       0.064837      -0.145000       0.154744      75.724548      75.415001      76.024101      75.132698      76.324844    1482.053101    1464.173950    1500.496582    1431.712036    1517.100464 
Kepler-65    6159.359066    6119.487199    6219.313059    6070.858263    6265.515051       0.103596       0.025000       0.179365      -0.053800       0.254898      89.548996      89.154999      90.087738      88.707603      90.534859    1849.598633    1824.300049    1867.402222    1803.939941    1890.097534 
Kepler-68    5799.945594    5731.258513    5873.007812    5661.870954    5939.385080       0.156639       0.119400       0.194822       0.085000       0.231733     101.578247     101.474998     101.672012     101.379601     101.764870    2150.593994    2138.374023    2161.697266    2126.100098    2171.926514 
Kepler-92    5896.601104    5798.293308    5973.700547    5706.371658    6056.770334       0.201649       0.115000       0.298238       0.015000       0.385576      66.709663      65.834999      67.852928      64.875000      68.834618    1293.595825    1246.108032    1318.497070    1210.500000    1343.388184 
Kepler-93    5673.526434    5594.355284    5742.571320    5527.517262    5817.608881      -0.141571      -0.235000      -0.067128      -0.325000       0.006184     145.848434     145.354996     146.235504     144.934998     146.661346    3322.169922    3283.699951    3378.722412    3241.585938    3425.695557 
Kepler-95    5688.168564    5624.320943    5764.257583    5555.779694    5831.102111       0.287376       0.205000       0.365290       0.135000       0.441404      83.790558      82.205696      84.804810      80.949699      86.054848    1708.995605    1652.700073    1739.432373    1612.030029    1778.096558 
